"Tid","NA01-03","NA05-09","NA10-33","NA35-39","NA41-43","NA45-47","NA49-53","NA55-56","NA58-63","NA64-66","NA68-75","NA77-82","NA84","NA85","NA86-88","NA90-99","NA00"
"2016M01",26495,61103,210111,30569,187265,363495,139436,90754,86530,47350,155122,127915,175869,230188,593713,98670,4123
"2016M02",25793,61186,215663,30854,201639,361850,142334,97021,87264,47331,155988,134048,176163,234192,589403,104406,1622
"2016M03",26754,60613,216970,30808,203803,361592,142818,98998,88413,46843,157625,135691,176499,235693,598777,106427,1516
"2016M04",28293,60189,217266,31071,205025,364822,142294,100089,87935,47265,157951,137952,178327,237323,604149,107773,1649
"2016M05",30047,59659,216435,31269,206515,368786,141788,103584,87271,47072,158269,140042,178196,238155,604972,106686,1724
"2016M06",34556,59435,218451,30725,212861,376079,145746,111007,86701,46326,159625,147493,176511,238158,596990,111768,1719
"2016M07",35333,58764,210657,32879,205122,373709,145648,111346,85793,47070,154285,148043,180562,233804,621055,102905,1637
"2016M08",37186,58077,217695,32907,212489,374443,146641,113139,87233,46893,156141,145080,177414,214500,615857,103009,1614
"2016M09",34489,57613,217700,32132,217025,369212,145868,109927,88751,46565,159184,149930,179387,227556,610897,107969,1654
"2016M10",34002,56493,216404,31720,218439,366445,143630,105290,88456,46434,159290,148443,178966,234312,612052,108028,1573
"2016M11",33298,55808,213405,32111,219828,368688,142595,104720,88649,46392,160188,148131,180531,239146,617026,107355,1593
"2016M12",45455,55281,215800,32854,222828,378343,143977,107726,89648,46780,166552,149143,183765,247714,622332,116670,2399
"2017M01",26085,53942,203338,31507,195098,362516,138846,93245,87096,46281,152974,137403,178249,232819,601717,102818,1615
"2017M02",27379,54176,211117,31821,212599,365443,139177,100304,87908,46489,157628,141304,179136,239835,612634,107578,1259
"2017M03",28813,55088,211759,31810,214867,365592,139688,102354,88461,46621,158341,143234,179135,241014,611309,109251,994
"2017M04",29635,55293,211460,31772,216323,368525,139908,103778,88070,46357,158571,144250,179166,243228,612844,109790,1068
"2017M05",31765,55374,211445,31622,217793,373130,140903,108855,88468,46359,159654,148517,179704,241065,614511,110296,1131
"2017M06",36204,56227,215472,32146,225522,381040,144340,117035,88728,46607,163203,158185,182819,250068,626665,116448,1237
"2017M07",37093,56607,209914,33222,215841,378207,144825,117517,87190,46691,157447,158951,181538,234098,623070,106032,1035
"2017M08",39153,56624,217148,33309,224645,381489,144836,118602,89369,46392,160345,156938,180379,216543,623319,106852,921
"2017M09",37076,56256,215187,32046,227842,373307,144007,115683,90181,46215,162898,158621,182340,227871,626756,110982,944
"2017M10",37054,55878,215175,32118,229172,371025,142989,111312,90168,45903,163801,156709,182860,238269,620398,111611,985
"2017M11",34773,56062,215694,32250,231078,373147,142238,109372,90851,45998,164415,156137,183442,243345,625437,110931,1036
"2017M12",45054,56150,215959,33017,232929,380724,143568,112021,91521,46375,170638,157467,186440,251841,629791,121059,1362
"2018M01",27283,55079,203742,31767,205141,367359,137654,98972,89256,45798,159091,146271,181312,238863,612825,106223,1191
"2018M02",28511,54579,211075,32174,221719,367209,139507,104203,90782,45822,162372,149684,181107,243112,616496,110279,922
"2018M03",29817,54814,213206,32301,223674,365590,139208,104830,91375,46044,163144,150965,181837,246021,619858,112398,919
"2018M04",31145,55029,212730,32394,223567,369812,140654,108240,91657,46084,164446,152285,182429,245937,620957,113794,972
"2018M05",32681,55319,213501,32449,224175,373946,141884,111349,92015,46037,166280,156616,181834,245740,622883,113676,1109
"2018M06",37274,55640,217992,33095,233118,383628,144805,119548,92693,46360,169144,164968,184857,254179,635335,119304,1019
"2018M07",38133,56109,213827,33790,225229,381290,144919,120914,90590,46293,164745,162768,185509,240984,641598,110298,969
"2018M08",39057,56405,220396,34113,232239,381664,144848,120588,92612,46388,166689,162971,183194,221797,634033,109192,952
"2018M09",36852,55716,218265,33364,234861,372044,144262,118261,94402,46206,168942,163818,183198,232372,638471,114059,1025
"2018M10",36466,56600,218353,33066,238758,371783,142872,112900,94767,46196,170217,162195,182728,240919,627972,114372,1045
"2018M11",35091,55959,219364,32965,240551,374010,143116,111814,94816,46351,171789,160879,184171,245799,633637,114916,999
"2018M12",44527,56876,219667,33696,241438,380605,143757,114499,95558,46654,175818,160204,187172,252564,633834,123929,1319
"2019M01",28264,56442,208625,32306,210916,366237,138536,101645,93701,46447,165449,146067,182681,241482,624148,109017,1203
"2019M02",29473,56858,216838,32732,232156,364474,140395,106823,95258,39913,168340,153069,182714,247707,629222,114037,1102
"2019M03",30516,57746,218525,32915,234807,365661,140617,108389,95717,46833,169374,155872,183017,249299,629106,116094,1136
"2019M04",31990,57969,219180,33157,235086,369543,140935,110890,96772,46750,170994,157379,184035,250926,630252,116440,1125
"2019M05",33984,58322,220467,33325,236901,371937,142374,115143,97233,46807,172150,158501,183474,248509,630666,116866,1193
"2019M06",37753,58831,223068,33671,240507,380514,145532,122813,98045,47123,174030,169456,186298,257646,643744,121691,1231
"2019M07",38553,60112,219991,34864,235935,377463,146834,125410,96585,47065,169447,170354,186773,246024,646574,113033,1172
"2019M08",40888,60459,224734,34923,239175,380233,145997,125421,98202,47139,170887,167103,184123,224978,644845,111670,1121
"2019M09",37961,60604,222451,34083,241551,370704,144734,122168,99571,47024,173517,167337,184504,238140,647223,117915,1185
"2019M10",37918,61822,222711,33890,245547,370361,144023,116789,99267,47016,174322,162993,186778,245611,635629,119256,1343
"2019M11",36633,61836,222287,34001,245306,371853,142961,115200,99995,47202,174874,163515,185292,250049,640256,117719,1367
"2019M12",44281,62114,221385,33946,245745,376653,143931,118093,100207,47534,178317,163937,188474,257108,640072,126257,1682
"2020M01",29698,61710,210425,32732,217219,365238,139240,105523,98501,47337,169509,153725,182150,239052,616730,111405,1535
"2020M02",30358,62228,218470,33522,235176,362236,141597,111360,99532,47447,172979,156324,184211,251543,634128,115976,1503
"2020M03",31507,62444,219109,33624,237062,363651,141284,110952,100278,47454,173412,152921,184397,251285,631619,118961,1548
"2020M04",32085,61361,213908,33562,233599,353836,134851,95542,99290,47497,168948,146990,182821,245416,626815,108018,1624
"2020M05",33739,61073,213294,33753,232578,355623,131595,89578,98791,47235,168425,142194,182871,236351,614376,104506,1718
"2020M06",38018,61095,214700,33928,237051,361333,131011,86285,98767,47385,170745,144345,185672,244349,629637,106056,1844
"2020M07",38805,60896,210436,35175,230475,363204,133258,95527,97504,47620,165114,144862,183772,232029,632423,101499,1657
"2020M08",40719,61399,215101,35141,233617,367523,135051,106691,98742,47797,168207,144203,184459,221385,632777,106766,1721
"2020M09",38220,61293,214725,34704,241471,362032,135413,103241,100316,47908,170869,148068,185045,235939,637305,111098,1753
"2020M10",38129,61680,215821,34509,243590,363326,134840,98647,101683,48027,171950,150597,186128,247186,632610,112915,1789
"2020M11",36199,61503,216657,34417,240393,367163,135655,94014,101785,48633,171661,149603,186569,243028,643039,113374,1896
"2020M12",44653,61647,217934,35252,245266,377684,135085,90566,103439,48801,176325,150419,191003,262506,659424,120250,2365
"2021M01",30201,61051,203998,33299,217227,362865,127030,77705,100231,48201,167027,140418,186032,244931,635869,105202,1929
"2021M02",30721,61088,210971,34000,232620,359829,127039,72106,101700,48346,169327,143309,187049,250444,640345,107441,2011
"2021M03",32066,61319,212936,33872,236228,359786,127496,71758,102672,48527,172003,142418,186706,251374,636318,111397,2026
"2021M04",33275,61033,211270,34039,229512,358372,126996,67817,102912,48551,171687,143294,187260,252132,640593,108571,2123
"2021M05",35026,61297,212851,34355,232680,363548,127685,72295,103758,48433,172693,145325,188350,251118,643238,109100,2075
"2021M06",39211,61547,217009,34966,239838,377922,131700,92736,105830,48708,176634,154059,190828,257331,656180,117667,2229
"2021M07",41258,61926,215648,36103,238062,382527,135181,111680,104890,48736,174521,156570,191940,240293,665900,113232,2153
"2021M08",41972,61723,219203,35592,238493,383467,135681,117603,106330,48774,175732,156333,191579,229021,663373,114865,2084
"2021M09",39978,62202,219018,35479,246530,376084,136495,116474,108326,48871,179412,161827,192353,244105,667052,120125,2201
"2021M10",39214,62645,219746,35213,249009,375960,136891,113753,109087,49030,180510,161828,196016,256065,659096,121746,2329
"2021M11",38324,62722,219897,35284,250519,380668,136971,116281,109860,49106,182202,163480,192415,258474,664675,122692,2357
"2021M12",46237,62938,220959,35910,252593,387241,138304,118464,110781,49417,187230,165041,194552,266491,666455,132211,3016
"2022M01",31965,61224,211211,34540,227049,375860,132807,96947,108143,49156,176533,152787,190031,249298,650754,113473,2723
